product_id,category,name,brand,size,price,mrp,discount_percent,rack_location,in_stock,health_tags
27,Bread,Whole Wheat Bread 100 g DMart,DMart,100 g,462.58,544.21,15,A07-R02-S03,1,kids
28,Beverages,Soda 250 g Lays,Lays,250 g,598.22,747.78,20,A08-R03-S04,1,protein;low fat
29,Pulses,Moong Dal 2 kg India Gate,India Gate,2 kg,262.24,276.04,5,A09-R04-S05,0,kids;low fat;staple
30,Rice,Basmati Rice 500 g India Gate,India Gate,500 g,251.89,251.89,0,A10-R05-S06,1,low fat;high fibre
31,Bread,Whole Wheat Bread 500 g India Gate,India Gate,500 g,539.54,539.54,0,A01-R01-S01,1,high fibre;diabetic friendly;staple
32,Dairy,Toned Milk 250 g Britannia,Britannia,250 g,638.62,638.62,0,A02-R02-S02,1,low fat;kids;protein
33,Dairy,Paneer 200 g Aashirvaad,Aashirvaad,200 g,137.63,144.87,5,A03-R03-S03,1,staple
34,Biscuits,Marie Gold 200 ml Aashirvaad,Aashirvaad,200 ml,678.41,753.79,10,A04-R04-S04,1,staple
35,Beverages,Cola 100 g Fortune,Fortune,100 g,227.26,284.08,20,A05-R05-S05,1,diabetic friendly
36,Rice,Basmati Rice 100 g Britannia,Britannia,100 g,478.78,531.98,10,A06-R01-S06,1,protein
37,Dairy,Cheese Slices 250 g DMart,DMart,250 g,83.04,87.41,5,A07-R02-S01,1,high fibre;diabetic friendly
38,Oil,Mustard Oil 100 g Parle,Parle,100 g,652.36,724.84,10,A08-R03-S02,1,snack;kids;staple
39,Bread,White Bread 1 L Modern,Modern,1 L,627.58,738.33,15,A09-R04-S03,1,low fat
40,Rice,Sona Masoori 2 kg Modern,Modern,2 kg,226.49,238.41,5,A10-R05-S04,1,diabetic friendly;kids;low fat
41,Oil,Groundnut Oil 250 g Modern,Modern,250 g,406.73,478.5,15,A01-R01-S05,1,protein;snack;diabetic friendly
42,Rice,Regular Rice 1 L Parle,Parle,1 L,45.98,48.4,5,A02-R02-S06,1,protein;snack
43,Pulses,Toor Dal 500 g India Gate,India Gate,500 g,372.36,413.73,10,A03-R03-S01,1,kids;staple;high fibre
44,Rice,Basmati Rice 100 g Parle,Parle,100 g,534.23,593.59,10,A04-R04-S02,0,protein;low sugar;diabetic friendly
45,Dairy,Curd 250 g Fortune,Fortune,250 g,342.65,403.12,15,A05-R05-S03,1,snack;low fat;high fibre
46,Biscuits,Good Day 2 kg DMart,DMart,2 kg,453.04,503.38,10,A06-R01-S04,1,protein;staple
47,Snacks,Potato Chips 200 g Modern,Modern,200 g,304.44,338.27,10,A07-R02-S05,0,low sugar;snack;high fibre
48,Pulses,Toor Dal 1 L Aashirvaad,Aashirvaad,1 L,473.06,591.33,20,A08-R03-S06,1,low sugar
49,Pulses,Moong Dal 500 ml Amul,Amul,500 ml,256.43,284.92,10,A09-R04-S01,1,staple
50,Biscuits,Bourbon 500 g Britannia,Britannia,500 g,91.67,91.67,0,A10-R05-S02,1,snack
51,Snacks,Namkeen 500 ml Britannia,Britannia,500 ml,86.1,101.29,15,A01-R01-S03,1,snack;protein
52,Oil,Groundnut Oil 500 g Parle,Parle,500 g,94.51,111.19,15,A02-R02-S04,1,diabetic friendly;snack;low fat
53,Rice,Basmati Rice 1 L Britannia,Britannia,1 L,343.08,361.14,5,A03-R03-S05,1,high fibre;low sugar
54,Dairy,Paneer 100 g Modern,Modern,100 g,393.04,491.3,20,A04-R04-S06,1,snack
55,Rice,Regular Rice 500 ml Modern,Modern,500 ml,238.15,280.18,15,A05-R05-S01,1,kids
56,Snacks,Khakhra 100 g Fortune,Fortune,100 g,648.88,763.39,15,A06-R01-S02,1,diabetic friendly
57,Pulses,Moong Dal 250 g Aashirvaad,Aashirvaad,250 g,637.93,750.51,15,A07-R02-S03,1,snack
58,Beverages,Soda 250 g Fortune,Fortune,250 g,186.81,219.78,15,A08-R03-S04,1,low fat;diabetic friendly;staple
59,Dairy,Paneer 500 g DMart,DMart,500 g,388.24,388.24,0,A09-R04-S05,1,protein;high fibre;kids
60,Beverages,Mango Drink 2 kg Modern,Modern,2 kg,202.66,202.66,0,A10-R05-S06,1,diabetic friendly;kids
61,Pulses,Chana Dal 1 L Lays,Lays,1 L,311.81,346.45,10,A01-R01-S01,1,snack;diabetic friendly;protein
62,Oil,Mustard Oil 500 g Lays,Lays,500 g,439.62,462.76,5,A02-R02-S02,0,staple;high fibre;diabetic friendly
63,Beverages,Mango Drink 100 g Fortune,Fortune,100 g,279.16,293.85,5,A03-R03-S03,1,diabetic friendly
64,Oil,Mustard Oil 500 g Lays,Lays,500 g,583.88,614.61,5,A04-R04-S04,1,protein;kids
65,Snacks,Potato Chips 500 ml Britannia,Britannia,500 ml,568.06,597.96,5,A05-R05-S05,1,high fibre;low sugar
66,Beverages,Cola 500 g Parle,Parle,500 g,495.76,550.85,10,A06-R01-S06,1,snack;staple;high fibre
67,Dairy,Cheese Slices 1 kg Fortune,Fortune,1 kg,59.31,59.31,0,A07-R02-S01,1,kids
68,Bread,White Bread 2 kg Parle,Parle,2 kg,53.84,63.34,15,A08-R03-S02,1,low fat;staple;low sugar
69,Pulses,Toor Dal 200 g Aashirvaad,Aashirvaad,200 g,22.23,23.4,5,A09-R04-S03,1,protein
70,Beverages,Mango Drink 100 g Aashirvaad,Aashirvaad,100 g,63.53,70.59,10,A10-R05-S04,1,low fat;diabetic friendly;protein
71,Pulses,Chana Dal 200 g Modern,Modern,200 g,700.62,737.49,5,A01-R01-S05,1,low sugar;snack;low fat
72,Biscuits,Marie Gold 100 g DMart,DMart,100 g,289.29,361.61,20,A02-R02-S06,1,staple;protein;kids
73,Bread,White Bread 500 g Lays,Lays,500 g,39.29,49.11,20,A03-R03-S01,1,protein;kids;high fibre
74,Biscuits,Bourbon 1 L Modern,Modern,1 L,475.08,475.08,0,A04-R04-S02,0,low fat;staple;high fibre
75,Biscuits,Bourbon 250 g Parle,Parle,250 g,107.81,126.84,15,A05-R05-S03,1,low sugar;high fibre
76,Snacks,Mixture 1 L Amul,Amul,1 L,514.49,605.28,15,A06-R01-S04,1,kids;high fibre;protein
77,Oil,Mustard Oil 500 g India Gate,India Gate,500 g,500.4,588.71,15,A07-R02-S05,1,low fat;low sugar
78,Bread,Whole Wheat Bread 500 ml Lays,Lays,500 ml,683.55,683.55,0,A08-R03-S06,1,snack;low fat;protein
79,Snacks,Mixture 200 g Fortune,Fortune,200 g,568.82,568.82,0,A09-R04-S01,1,diabetic friendly;staple;kids
80,Pulses,Toor Dal 200 ml DMart,DMart,200 ml,303.64,357.22,15,A10-R05-S02,1,protein;staple;diabetic friendly
81,Rice,Regular Rice 100 g Modern,Modern,100 g,552.41,552.41,0,A01-R01-S03,1,snack;diabetic friendly;high fibre
82,Snacks,Mixture 1 L Aashirvaad,Aashirvaad,1 L,381.7,424.11,10,A02-R02-S04,1,snack
83,Pulses,Toor Dal 1 L Fortune,Fortune,1 L,583.1,728.88,20,A03-R03-S05,1,high fibre;kids;protein
84,Biscuits,Milk Bikis 200 ml India Gate,India Gate,200 ml,361.27,361.27,0,A04-R04-S06,1,snack;kids;diabetic friendly
85,Rice,Basmati Rice 200 ml Fortune,Fortune,200 ml,259.77,273.44,5,A05-R05-S01,1,high fibre
86,Oil,Mustard Oil 500 ml Modern,Modern,500 ml,145.37,153.02,5,A06-R01-S02,1,low sugar;diabetic friendly
87,Dairy,Cheese Slices 200 g Amul,Amul,200 g,536.52,631.2,15,A07-R02-S03,1,snack;kids
88,Bread,Whole Wheat Bread 200 ml DMart,DMart,200 ml,33.04,36.71,10,A08-R03-S04,1,staple;protein
89,Snacks,Khakhra 250 g Amul,Amul,250 g,433.27,509.73,15,A09-R04-S05,0,low sugar
90,Rice,Regular Rice 250 g Amul,Amul,250 g,226.02,282.53,20,A10-R05-S06,1,kids
91,Rice,Regular Rice 500 g Parle,Parle,500 g,120.19,141.4,15,A01-R01-S01,1,protein;low sugar
92,Snacks,Namkeen 500 ml Parle,Parle,500 ml,154.08,192.6,20,A02-R02-S02,0,snack
93,Beverages,Mango Drink 500 ml Britannia,Britannia,500 ml,223.58,263.04,15,A03-R03-S03,1,staple
94,Dairy,Toned Milk 1 kg Amul,Amul,1 kg,589.31,693.31,15,A04-R04-S04,1,diabetic friendly
95,Beverages,Orange Juice 2 kg DMart,DMart,2 kg,420.65,525.81,20,A05-R05-S05,1,diabetic friendly;low fat;staple
96,Bread,Whole Wheat Bread 500 g Aashirvaad,Aashirvaad,500 g,434.96,511.72,15,A06-R01-S06,1,low fat;staple;snack
97,Beverages,Cola 100 g Parle,Parle,100 g,130.48,130.48,0,A07-R02-S01,1,high fibre;low sugar;staple
98,Rice,Regular Rice 1 L Lays,Lays,1 L,274.5,322.94,15,A08-R03-S02,0,low fat;kids
99,Oil,Mustard Oil 200 g Parle,Parle,200 g,178.54,223.18,20,A09-R04-S03,0,snack;protein;diabetic friendly
100,Snacks,Khakhra 2 kg Parle,Parle,2 kg,479.79,533.1,10,A10-R05-S04,1,high fibre;kids;diabetic friendly
101,Snacks,Namkeen 250 g DMart,DMart,250 g,39.55,39.55,0,A01-R01-S05,1,snack;staple
102,Dairy,Curd 500 g India Gate,India Gate,500 g,409.74,512.18,20,A02-R02-S06,1,snack
103,Rice,Regular Rice 2 kg Modern,Modern,2 kg,464.52,580.65,20,A03-R03-S01,1,low sugar
104,Beverages,Orange Juice 200 ml Amul,Amul,200 ml,54.17,63.73,15,A04-R04-S02,1,low sugar
105,Beverages,Cola 2 kg Parle,Parle,2 kg,558.93,558.93,0,A05-R05-S03,1,snack;staple;diabetic friendly
106,Snacks,Khakhra 500 ml Britannia,Britannia,500 ml,363.71,363.71,0,A06-R01-S04,1,low sugar
107,Beverages,Mango Drink 500 ml Britannia,Britannia,500 ml,96.7,120.88,20,A07-R02-S05,0,low sugar;diabetic friendly;protein
108,Beverages,Cola 200 ml India Gate,India Gate,200 ml,211.29,248.58,15,A08-R03-S06,1,staple;snack;protein
109,Rice,Sona Masoori 1 L Parle,Parle,1 L,97.42,114.61,15,A09-R04-S01,0,diabetic friendly;staple
110,Dairy,Toned Milk 500 g Britannia,Britannia,500 g,523.76,523.76,0,A10-R05-S02,1,staple;low fat
111,Rice,Basmati Rice 1 L Parle,Parle,1 L,89.11,111.39,20,A01-R01-S03,1,low fat
112,Dairy,Cheese Slices 100 g Aashirvaad,Aashirvaad,100 g,219.32,219.32,0,A02-R02-S04,0,protein;high fibre
113,Dairy,Curd 200 ml Parle,Parle,200 ml,221.99,233.67,5,A03-R03-S05,1,staple;low fat;kids
114,Oil,Mustard Oil 1 L India Gate,India Gate,1 L,269.99,299.99,10,A04-R04-S06,1,low sugar
115,Beverages,Soda 2 kg Amul,Amul,2 kg,460.1,575.13,20,A05-R05-S01,1,snack;staple
116,Bread,Brown Bread 200 g Parle,Parle,200 g,173.98,217.47,20,A06-R01-S02,1,protein;diabetic friendly
117,Beverages,Mango Drink 1 L Amul,Amul,1 L,582.07,582.07,0,A07-R02-S03,0,kids
118,Bread,Brown Bread 500 g DMart,DMart,500 g,462.65,544.29,15,A08-R03-S04,1,low sugar
119,Dairy,Cheese Slices 1 kg Amul,Amul,1 kg,387.22,387.22,0,A09-R04-S05,1,diabetic friendly
120,Beverages,Orange Juice 100 g Aashirvaad,Aashirvaad,100 g,332.67,332.67,0,A10-R05-S06,1,low sugar;kids;diabetic friendly
121,Dairy,Cheese Slices 1 kg DMart,DMart,1 kg,503.62,629.53,20,A01-R01-S01,1,kids
122,Dairy,Cheese Slices 1 kg Parle,Parle,1 kg,108.55,120.61,10,A02-R02-S02,1,snack
123,Beverages,Soda 500 ml Fortune,Fortune,500 ml,390.2,433.56,10,A03-R03-S03,1,high fibre
124,Beverages,Orange Juice 500 g Aashirvaad,Aashirvaad,500 g,420.98,526.22,20,A04-R04-S04,0,snack;staple;low fat
125,Pulses,Toor Dal 100 g Parle,Parle,100 g,148.88,186.1,20,A05-R05-S05,1,high fibre
126,Rice,Sona Masoori 500 ml Lays,Lays,500 ml,374.95,416.61,10,A06-R01-S06,0,protein
127,Bread,Brown Bread 1 kg Fortune,Fortune,1 kg,245.83,307.29,20,A07-R02-S01,0,staple;protein
128,Bread,White Bread 200 g Fortune,Fortune,200 g,534.91,668.64,20,A08-R03-S02,1,high fibre;low sugar;snack
129,Beverages,Mango Drink 250 g Modern,Modern,250 g,97.95,122.44,20,A09-R04-S03,1,protein;low fat
130,Oil,Sunflower Oil 2 kg Parle,Parle,2 kg,552.9,582.0,5,A10-R05-S04,1,high fibre;snack
131,Dairy,Curd 200 ml Modern,Modern,200 ml,608.9,761.13,20,A01-R01-S05,1,low sugar
132,Pulses,Toor Dal 1 kg DMart,DMart,1 kg,138.6,173.25,20,A02-R02-S06,1,diabetic friendly;staple
133,Oil,Groundnut Oil 250 g Amul,Amul,250 g,366.77,407.52,10,A03-R03-S01,1,high fibre;snack;low fat
134,Snacks,Mixture 250 g Amul,Amul,250 g,51.93,64.91,20,A04-R04-S02,1,high fibre
135,Beverages,Orange Juice 250 g Modern,Modern,250 g,672.62,672.62,0,A05-R05-S03,1,kids
136,Oil,Sunflower Oil 2 kg Aashirvaad,Aashirvaad,2 kg,719.07,719.07,0,A06-R01-S04,0,diabetic friendly;protein
137,Pulses,Moong Dal 1 kg Aashirvaad,Aashirvaad,1 kg,342.57,380.63,10,A07-R02-S05,1,low sugar;high fibre
138,Beverages,Orange Juice 1 kg Britannia,Britannia,1 kg,452.25,532.06,15,A08-R03-S06,1,low fat;diabetic friendly;low sugar
139,Snacks,Potato Chips 1 L Aashirvaad,Aashirvaad,1 L,426.21,501.42,15,A09-R04-S01,1,low sugar;snack
140,Biscuits,Milk Bikis 200 g India Gate,India Gate,200 g,179.24,210.87,15,A10-R05-S02,1,high fibre;low fat
141,Beverages,Orange Juice 250 g DMart,DMart,250 g,562.29,661.52,15,A01-R01-S03,1,protein
142,Snacks,Namkeen 200 ml DMart,DMart,200 ml,144.82,160.91,10,A02-R02-S04,1,low fat
143,Oil,Sunflower Oil 2 kg Modern,Modern,2 kg,125.72,147.9,15,A03-R03-S05,1,staple;low fat
144,Rice,Basmati Rice 1 L Britannia,Britannia,1 L,512.22,602.61,15,A04-R04-S06,1,low sugar;kids;staple
145,Dairy,Cheese Slices 500 g India Gate,India Gate,500 g,327.59,385.4,15,A05-R05-S01,0,high fibre
146,Beverages,Cola 500 g Modern,Modern,500 g,175.99,175.99,0,A06-R01-S02,1,kids;staple;snack
147,Oil,Groundnut Oil 100 g Fortune,Fortune,100 g,294.48,327.2,10,A07-R02-S03,1,high fibre;snack;protein
148,Biscuits,Marie Gold 500 ml Lays,Lays,500 ml,349.88,388.76,10,A08-R03-S04,1,low fat;kids
149,Biscuits,Good Day 500 g Modern,Modern,500 g,581.72,646.36,10,A09-R04-S05,1,staple;low fat;low sugar
150,Dairy,Paneer 200 g Lays,Lays,200 g,52.45,55.21,5,A10-R05-S06,1,low fat;high fibre;staple
151,Beverages,Cola 200 g DMart,DMart,200 g,249.94,249.94,0,A01-R01-S01,1,low fat
152,Oil,Sunflower Oil 100 g Amul,Amul,100 g,229.62,270.14,15,A02-R02-S02,1,protein;staple;low fat
153,Beverages,Mango Drink 2 kg DMart,DMart,2 kg,660.47,777.02,15,A03-R03-S03,0,high fibre
154,Biscuits,Marie Gold 1 L Aashirvaad,Aashirvaad,1 L,357.49,397.21,10,A04-R04-S04,1,low fat;kids
155,Biscuits,Bourbon 2 kg DMart,DMart,2 kg,561.93,702.41,20,A05-R05-S05,1,protein;snack;low sugar
156,Beverages,Orange Juice 2 kg DMart,DMart,2 kg,537.26,537.26,0,A06-R01-S06,1,low sugar;staple;protein
157,Rice,Basmati Rice 1 kg Lays,Lays,1 kg,30.32,33.69,10,A07-R02-S01,1,high fibre;low fat;protein
158,Biscuits,Good Day 2 kg Britannia,Britannia,2 kg,392.05,461.23,15,A08-R03-S02,1,high fibre;snack
159,Biscuits,Marie Gold 250 g Parle,Parle,250 g,138.12,162.5,15,A09-R04-S03,1,snack;staple;low sugar
160,Bread,Brown Bread 1 kg DMart,DMart,1 kg,573.74,717.18,20,A10-R05-S04,1,low sugar;snack;low fat
161,Dairy,Cheese Slices 1 kg DMart,DMart,1 kg,279.27,349.09,20,A01-R01-S05,1,snack;kids
162,Bread,White Bread 500 ml Parle,Parle,500 ml,119.91,141.07,15,A02-R02-S06,1,kids
163,Oil,Groundnut Oil 500 ml Aashirvaad,Aashirvaad,500 ml,183.91,216.37,15,A03-R03-S01,0,staple
164,Biscuits,Milk Bikis 500 g DMart,DMart,500 g,402.5,503.13,20,A04-R04-S02,1,high fibre;protein
165,Oil,Groundnut Oil 1 L Parle,Parle,1 L,464.92,581.15,20,A05-R05-S03,1,low sugar;low fat;kids
166,Dairy,Curd 250 g Britannia,Britannia,250 g,603.5,603.5,0,A06-R01-S04,1,protein
167,Rice,Basmati Rice 2 kg Britannia,Britannia,2 kg,340.22,358.13,5,A07-R02-S05,1,kids
168,Snacks,Mixture 100 g Parle,Parle,100 g,226.45,238.37,5,A08-R03-S06,1,staple;protein;high fibre
169,Snacks,Mixture 1 L Britannia,Britannia,1 L,318.88,318.88,0,A09-R04-S01,1,protein;low fat;high fibre
170,Beverages,Cola 250 g Fortune,Fortune,250 g,502.78,628.48,20,A10-R05-S02,1,low fat;protein
171,Bread,Brown Bread 500 g Lays,Lays,500 g,511.01,511.01,0,A01-R01-S03,1,low sugar;protein;staple
172,Snacks,Potato Chips 500 ml Lays,Lays,500 ml,146.69,162.99,10,A02-R02-S04,1,protein;low sugar;diabetic friendly
173,Bread,Whole Wheat Bread 500 ml Modern,Modern,500 ml,526.2,584.67,10,A03-R03-S05,1,protein;low sugar;low fat
174,Dairy,Paneer 1 L DMart,DMart,1 L,679.49,715.25,5,A04-R04-S06,1,snack;staple
175,Bread,Brown Bread 500 ml Aashirvaad,Aashirvaad,500 ml,623.8,733.88,15,A05-R05-S01,1,staple
176,Dairy,Toned Milk 500 g Parle,Parle,500 g,319.68,336.51,5,A06-R01-S02,1,diabetic friendly;low sugar
177,Oil,Groundnut Oil 2 kg Modern,Modern,2 kg,413.81,413.81,0,A07-R02-S03,1,staple;high fibre
178,Bread,Brown Bread 200 ml Amul,Amul,200 ml,587.7,691.41,15,A08-R03-S04,0,snack
179,Pulses,Chana Dal 250 g Lays,Lays,250 g,429.06,476.73,10,A09-R04-S05,1,snack;protein
180,Biscuits,Marie Gold 2 kg Aashirvaad,Aashirvaad,2 kg,142.58,158.42,10,A10-R05-S06,1,staple;high fibre;low fat
181,Pulses,Chana Dal 500 g DMart,DMart,500 g,659.8,659.8,0,A01-R01-S01,1,snack;diabetic friendly
182,Biscuits,Good Day 500 g Aashirvaad,Aashirvaad,500 g,598.9,598.9,0,A02-R02-S02,1,low fat;high fibre;snack
183,Oil,Sunflower Oil 1 L Fortune,Fortune,1 L,41.73,49.09,15,A03-R03-S03,0,diabetic friendly;staple
184,Rice,Sona Masoori 100 g Modern,Modern,100 g,598.11,703.66,15,A04-R04-S04,1,low sugar;kids;staple
185,Dairy,Toned Milk 500 ml Lays,Lays,500 ml,493.24,616.55,20,A05-R05-S05,1,kids
186,Oil,Sunflower Oil 500 g Amul,Amul,500 g,384.66,480.82,20,A06-R01-S06,1,protein;staple
187,Bread,White Bread 500 g Lays,Lays,500 g,505.48,505.48,0,A07-R02-S01,1,diabetic friendly
188,Bread,Whole Wheat Bread 200 g Fortune,Fortune,200 g,224.71,280.89,20,A08-R03-S02,1,staple;protein;snack
189,Rice,Regular Rice 2 kg Britannia,Britannia,2 kg,554.34,554.34,0,A09-R04-S03,1,staple;kids;protein
190,Beverages,Cola 200 g Amul,Amul,200 g,361.53,425.33,15,A10-R05-S04,1,snack;low sugar
191,Pulses,Moong Dal 200 g Modern,Modern,200 g,612.42,720.49,15,A01-R01-S05,1,protein
192,Biscuits,Marie Gold 500 g Amul,Amul,500 g,98.9,123.63,20,A02-R02-S06,1,snack
193,Beverages,Mango Drink 500 g Modern,Modern,500 g,103.21,114.68,10,A03-R03-S01,1,protein;low fat;kids
194,Oil,Mustard Oil 500 ml Lays,Lays,500 ml,476.07,560.08,15,A04-R04-S02,1,protein
195,Biscuits,Milk Bikis 500 g Amul,Amul,500 g,163.84,182.04,10,A05-R05-S03,1,high fibre
196,Oil,Sunflower Oil 1 L Parle,Parle,1 L,510.43,600.51,15,A06-R01-S04,1,low sugar;staple
197,Biscuits,Bourbon 1 kg Lays,Lays,1 kg,420.35,467.06,10,A07-R02-S05,1,diabetic friendly
198,Dairy,Paneer 1 L Fortune,Fortune,1 L,24.51,24.51,0,A08-R03-S06,1,diabetic friendly;protein;kids
199,Biscuits,Good Day 2 kg Amul,Amul,2 kg,647.5,761.77,15,A09-R04-S01,1,protein;low sugar;low fat
200,Pulses,Chana Dal 500 ml Fortune,Fortune,500 ml,575.0,718.75,20,A10-R05-S02,1,high fibre;kids;protein
201,Dairy,Cheese Slices 250 g Amul,Amul,250 g,341.81,379.79,10,A01-R01-S03,1,snack
202,Rice,Sona Masoori 200 ml Fortune,Fortune,200 ml,788.28,788.28,0,A02-R02-S04,1,staple;diabetic friendly;kids
203,Biscuits,Good Day 2 kg DMart,DMart,2 kg,443.48,492.76,10,A03-R03-S05,1,snack;low sugar
204,Bread,Whole Wheat Bread 100 g India Gate,India Gate,100 g,96.34,107.05,10,A04-R04-S06,1,high fibre;staple
205,Dairy,Cheese Slices 2 kg Amul,Amul,2 kg,166.6,175.37,5,A05-R05-S01,1,staple;diabetic friendly
206,Snacks,Namkeen 2 kg Modern,Modern,2 kg,238.18,264.64,10,A06-R01-S02,1,low fat
207,Biscuits,Bourbon 200 g Britannia,Britannia,200 g,19.15,21.28,10,A07-R02-S03,0,kids;low sugar
208,Beverages,Cola 250 g India Gate,India Gate,250 g,610.48,610.48,0,A08-R03-S04,1,staple
209,Biscuits,Milk Bikis 500 ml India Gate,India Gate,500 ml,468.21,550.84,15,A09-R04-S05,1,kids;low fat;low sugar
210,Snacks,Namkeen 2 kg Britannia,Britannia,2 kg,112.38,140.47,20,A10-R05-S06,1,snack;low fat
211,Dairy,Paneer 250 g Fortune,Fortune,250 g,622.88,778.6,20,A01-R01-S01,1,diabetic friendly;low fat;high fibre
212,Dairy,Curd 1 kg Britannia,Britannia,1 kg,339.78,399.74,15,A02-R02-S02,0,kids;low sugar
213,Rice,Regular Rice 100 g DMart,DMart,100 g,469.47,521.63,10,A03-R03-S03,1,high fibre;low sugar;staple
214,Rice,Sona Masoori 100 g DMart,DMart,100 g,454.51,478.43,5,A04-R04-S04,1,diabetic friendly;low fat;kids
215,Beverages,Orange Juice 200 g India Gate,India Gate,200 g,165.71,207.14,20,A05-R05-S05,1,diabetic friendly;snack
216,Dairy,Toned Milk 1 kg Parle,Parle,1 kg,144.4,152.0,5,A06-R01-S06,1,protein;kids
217,Snacks,Potato Chips 2 kg India Gate,India Gate,2 kg,363.38,403.75,10,A07-R02-S01,1,diabetic friendly;protein;low sugar
218,Oil,Sunflower Oil 200 ml Fortune,Fortune,200 ml,37.57,46.96,20,A08-R03-S02,1,kids
219,Rice,Regular Rice 2 kg Lays,Lays,2 kg,200.15,210.68,5,A09-R04-S03,1,low fat
220,Pulses,Chana Dal 200 ml Parle,Parle,200 ml,395.02,493.78,20,A10-R05-S04,1,kids
221,Pulses,Chana Dal 500 g DMart,DMart,500 g,758.06,797.96,5,A01-R01-S05,1,protein;snack
222,Biscuits,Good Day 250 g Aashirvaad,Aashirvaad,250 g,84.48,84.48,0,A02-R02-S06,1,kids;staple;diabetic friendly
223,Beverages,Soda 500 g Modern,Modern,500 g,156.02,173.36,10,A03-R03-S01,1,low sugar;snack;staple
224,Bread,Brown Bread 100 g Fortune,Fortune,100 g,547.5,576.32,5,A04-R04-S02,1,staple;high fibre;protein
225,Oil,Groundnut Oil 100 g Parle,Parle,100 g,716.08,753.77,5,A05-R05-S03,1,high fibre
226,Bread,Whole Wheat Bread 200 ml DMart,DMart,200 ml,253.27,266.6,5,A06-R01-S04,0,staple
227,Bread,White Bread 200 g Lays,Lays,200 g,609.46,761.82,20,A07-R02-S05,0,staple;high fibre;protein
228,Rice,Sona Masoori 1 L Britannia,Britannia,1 L,548.7,577.58,5,A08-R03-S06,1,diabetic friendly
229,Snacks,Mixture 500 ml Britannia,Britannia,500 ml,251.23,251.23,0,A09-R04-S01,1,diabetic friendly;high fibre;staple
230,Pulses,Toor Dal 500 g DMart,DMart,500 g,203.94,254.93,20,A10-R05-S02,1,diabetic friendly;low fat;staple
